path	bytes	lines	commits	bug_commits	commits_per_kloc	bugs_per_kloc	bugs_per_commit	cognitive_complexity	complexity_per_kloc	fan_in	fan_out	committers
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/VisitFieldsDto.java	698	23	2	0	86.96	0.00	0.000	0	0.00	3	0	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/VetDto.java	1120	38	2	0	52.63	0.00	0.000	0	0.00	2	1	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/PetDto.java	1473	48	2	0	41.67	0.00	0.000	0	0.00	4	2	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/UserDto.java	876	31	2	0	64.52	0.00	0.000	0	0.00	2	1	1
petclinic-database/src/main/java/ro/victorrentea/petclinic/db/NetworkLatencyProxy.java	3791	115	2	0	17.39	0.00	0.000	11	95.65	1	0	1
petclinic-backend/src/main/java/victor/training/petclinic/security/Roles.java	288	11	1	0	90.91	0.00	0.000	0	0.00	0	0	1
petclinic-backend/src/main/java/victor/training/petclinic/mcp/McpTomcatCustomizer.java	1943	42	1	0	23.81	0.00	0.000	3	71.43	0	0	1
petclinic-backend/src/main/java/victor/training/petclinic/domain/Pet.java	1907	67	1	0	14.93	0.00	0.000	0	0.00	7	3	1
petclinic-backend/src/main/java/victor/training/petclinic/domain/Specialty.java	448	22	1	0	45.45	0.00	0.000	0	0.00	6	0	1
petclinic-backend/src/main/java/victor/training/petclinic/domain/Visit.java	785	34	1	0	29.41	0.00	0.000	0	0.00	6	1	1
petclinic-backend/src/main/java/victor/training/petclinic/domain/PetType.java	368	19	1	0	52.63	0.00	0.000	0	0.00	6	0	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/SpecialtyFeedController.java	1516	36	1	0	27.78	0.00	0.000	1	27.78	0	2	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/PetFieldsDto.java	769	29	1	0	34.48	0.00	0.000	0	0.00	2	1	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/RoleDto.java	372	16	1	0	62.50	0.00	0.000	0	0.00	1	0	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/VetFieldsDto.java	838	29	1	0	34.48	0.00	0.000	0	0.00	1	1	1
